Region,Country,City,Day,AvgTemperature
North America,US,Birmingham,13,54.8
North America,US,Huntsville,13,52.5
North America,US,Mobile,13,61.6
North America,US,Montgomery,13,55.1
North America,US,Anchorage,13,16.2
North America,US,Fairbanks,13,25.0
North America,US,Juneau,13,26.7
North America,US,Phoenix,13,74.2
North America,US,Tucson,13,69.8
North America,US,Fort Smith,13,53.0
North America,US,Little Rock,13,53.1
North America,US,Fresno,13,55.4
North America,US,Los Angeles,13,61.7
North America,US,Sacramento,13,56.0
North America,US,San Diego,13,63.7
North America,US,San Francisco,13,59.7
North America,US,Colorado Springs,13,49.8
North America,US,Denver,13,50.3
North America,US,Grand Junction,13,47.5
North America,US,Pueblo,13,47.6
North America,US,Bridgeport,13,40.7
North America,US,Hartford Springfield,13,34.5
North America,US,Washington,13,45.2
North America,US,Washington,13,45.2
North America,US,Washington DC,13,45.2
North America,US,Washington DC,13,45.2
North America,US,Jacksonville,13,66.3
North America,US,Miami Beach,13,79.2
North America,US,Orlando,13,72.8
North America,US,Tallahassee,13,64.7
North America,US,Tampa St. Petersburg,13,76.5
North America,US,West Palm Beach,13,76.5
North America,US,Atlanta,13,52.2
North America,US,Columbus,13,57.1
North America,US,Macon,13,53.6
North America,US,Savannah,13,60.3
North America,US,Honolulu,13,78.5
North America,US,Boise,13,47.1
North America,US,Pocatello,13,39.9
North America,US,Chicago,13,36.4
North America,US,Peoria,13,38.6
North America,US,Rockford,13,32.7
North America,US,Springfield,13,41.6
North America,US,Evansville,13,44.4
North America,US,Fort Wayne,13,38.4
North America,US,Indianapolis,13,39.6
North America,US,South Bend,13,38.0
North America,US,Des Moines,13,35.1
North America,US,Sioux City,13,32.4
North America,US,Goodland,13,43.5
North America,US,Topeka,13,42.1
North America,US,Wichita,13,47.5
North America,US,Lexington,13,44.0
North America,US,Louisville,13,45.3
North America,US,Paducah,13,46.8
North America,US,Lake Charles,13,67.1
North America,US,New Orleans,13,66.1
North America,US,Shreveport,13,61.1
North America,US,Caribou,13,24.8
North America,US,Portland,13,29.4
North America,US,Baltimore,13,41.9
North America,US,Boston,13,39.6
North America,US,Detroit,13,38.5
North America,US,Flint,13,36.6
North America,US,Grand Rapids,13,38.1
North America,US,Lansing,13,36.8
North America,US,Sault Ste Marie,13,34.5
North America,US,Duluth,13,25.5
North America,US,Minneapolis St. Paul,13,33.2
North America,US,Jackson,13,63.7
North America,US,Tupelo,13,51.8
North America,US,Kansas City,13,42.9
North America,US,Springfield,13,47.6
North America,US,St Louis,13,43.8
North America,US,Billings,13,38.1
North America,US,Great Falls,13,41.8
North America,US,Helena,13,29.0
North America,US,Lincoln,13,35.7
North America,US,North Platte,13,43.7
North America,US,Omaha,13,36.7
North America,US,Reno,13,48.4
North America,US,Las Vegas,13,59.2
North America,US,Concord,13,28.9
North America,US,Atlantic City,13,41.2
North America,US,Newark,13,42.3
North America,US,Albuquerque,13,56.6
North America,US,Albany,13,35.3
North America,US,Buffalo,13,36.8
North America,US,New York City,13,45.4
North America,US,Rochester,13,38.7
North America,US,Syracuse,13,35.8
North America,US,Asheville,13,48.7
North America,US,Charlotte,13,48.6
North America,US,Greensboro,13,47.7
North America,US,Raleigh Durham,13,47.8
North America,US,Bismarck,13,36.0
North America,US,Fargo,13,34.9
North America,US,Akron Canton,13,39.2
North America,US,Cincinnati,13,41.8
North America,US,Cleveland,13,42.0
North America,US,Columbus,13,41.4
North America,US,Dayton,13,38.5
North America,US,Toledo,13,38.7
North America,US,Youngstown,13,37.4
North America,US,Oklahoma City,13,51.4
North America,US,Tulsa,13,51.7
North America,US,Eugene,13,50.9
North America,US,Medford,13,53.2
North America,US,Portland,13,50.8
North America,US,Salem,13,52.3
North America,US,Allentown,13,39.5
North America,US,Erie,13,38.8
North America,US,Philadelphia,13,41.7
North America,US,Pittsburgh,13,40.2
North America,US,Wilkes Barre,13,38.1
North America,US,Rhode Island,13,37.3
North America,US,Charleston,13,57.2
North America,US,Columbia,13,52.8
North America,US,Rapid City,13,41.8
North America,US,Sioux Falls,13,37.3
North America,US,Chattanooga,13,53.5
North America,US,Knoxville,13,50.6
North America,US,Memphis,13,52.6
North America,US,Nashville,13,49.0
North America,US,Abilene,13,54.9
North America,US,Amarillo,13,50.4
North America,US,Austin,13,69.8
North America,US,Brownsville,13,75.6
North America,US,Corpus Christi,13,72.8
North America,US,Dallas Ft Worth,13,62.0
North America,US,El Paso,13,60.2
North America,US,Houston,13,68.5
North America,US,Lubbock,13,50.7
North America,US,Midland Odessa,13,55.2
North America,US,San Angelo,13,58.2
North America,US,San Antonio,13,70.6
North America,US,Waco,13,64.5
North America,US,Wichita Falls,13,54.7
North America,US,Salt Lake City,13,43.5
North America,US,Burlington,13,31.9
North America,US,Norfolk,13,50.8
North America,US,Richmond,13,43.4
North America,US,Roanoke,13,44.5
North America,US,Seattle,13,50.4
North America,US,Spokane,13,40.4
North America,US,Yakima,13,47.1
North America,US,Charleston,13,46.2
North America,US,Elkins,13,42.9
North America,US,Green Bay,13,32.6
North America,US,Madison,13,30.0
North America,US,Milwaukee,13,36.8
North America,US,Casper,13,48.1
North America,US,Cheyenne,13,45.7
